,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
AKRA.JK,0.000395,9.1e-05,3.8e-05,4.9e-05,2e-05,2.9e-05,4.4e-05,3.1e-05,5.2e-05,5e-05,2.5e-05,3e-05,5.8e-05,7.3e-05,2.3e-05,2.4e-05,0.000112,3.9e-05,0.000103,3.5e-05,-3e-06,0.000112,1.6e-05,2.8e-05,2.5e-05,4.7e-05,-1e-06,3.6e-05,1e-06,8.1e-05,4.7e-05,-4e-06,3.1e-05,1e-05,8.1e-05,2.8e-05,1.2e-05,3.3e-05,4.7e-05,-9e-06,-5.8e-05,1.7e-05,-4e-06,5.7e-05,-1.4e-05
ANTM.JK,9.1e-05,0.000425,4.9e-05,5.7e-05,3.9e-05,2.6e-05,3.7e-05,4e-05,7.3e-05,8.1e-05,2.6e-05,2.8e-05,4.1e-05,6.5e-05,4.9e-05,3.5e-05,7.2e-05,0.000125,0.000167,2.3e-05,-1.1e-05,0.000206,1.9e-05,5.6e-05,3.8e-05,4.8e-05,-6e-06,3.3e-05,2.1e-05,7.3e-05,9.2e-05,1.1e-05,3e-05,7.3e-05,0.000102,1.9e-05,1.1e-05,3.9e-05,4.4e-05,1.2e-05,-5.5e-05,2.6e-05,3.7e-05,9.3e-05,1e-06
ASII.JK,3.8e-05,4.9e-05,0.000236,0.000106,2.6e-05,5.7e-05,8e-05,8.7e-05,8.2e-05,7.4e-05,1.4e-05,3.5e-05,7.3e-05,0.000103,7.8e-05,-8e-06,3.6e-05,7.7e-05,6.4e-05,2.9e-05,1.9e-05,4.2e-05,4.7e-05,2e-05,4.6e-05,3.2e-05,4.8e-05,3.9e-05,1.8e-05,4.2e-05,6.3e-05,2.2e-05,2.8e-05,7e-05,1.7e-05,2.1e-05,-3.5e-05,2.2e-05,7e-05,4e-06,-2e-06,3e-05,6.8e-05,8.1e-05,3.4e-05
AUTO.JK,4.9e-05,5.7e-05,0.000106,0.00066,-4e-06,4.2e-05,6.2e-05,8.3e-05,0.000135,0.000125,2.3e-05,4.4e-05,7e-05,0.000154,9e-05,5.3e-05,9.1e-05,0.000179,6.3e-05,4.6e-05,6.4e-05,1.6e-05,3.4e-05,6.3e-05,4e-05,7.2e-05,2.8e-05,3.6e-05,5.5e-05,4.6e-05,9.4e-05,4.1e-05,6e-05,7.5e-05,0.000113,3.2e-05,0.000155,4.2e-05,0.00011,7e-05,3.7e-05,3.9e-05,3.6e-05,6.2e-05,4.7e-05
AVIA.JK,2e-05,3.9e-05,2.6e-05,-4e-06,0.000504,3.1e-05,3.2e-05,3.6e-05,6.8e-05,5.1e-05,1.1e-05,1.1e-05,5.3e-05,3e-05,5.6e-05,-6.4e-05,3.9e-05,3.5e-05,5e-05,1e-05,3e-05,3e-05,3.8e-05,4.5e-05,1.1e-05,2e-05,1e-05,2.3e-05,7e-06,3.2e-05,4.2e-05,2.1e-05,1.7e-05,7.2e-05,5e-06,3.4e-05,5e-06,-9e-06,2.6e-05,4.2e-05,-2.2e-05,0.0,2.6e-05,1.7e-05,6.1e-05
BBCA.JK,2.9e-05,2.6e-05,5.7e-05,4.2e-05,3.1e-05,0.000162,8.5e-05,9.6e-05,8.9e-05,3.5e-05,2.5e-05,2.7e-05,0.00011,8e-05,6.8e-05,2e-06,3.9e-05,6.2e-05,1.6e-05,1.2e-05,2.1e-05,-1e-06,2.9e-05,2.6e-05,1.2e-05,1.9e-05,2.3e-05,2.7e-05,1.1e-05,2.3e-05,2.6e-05,1.8e-05,2.8e-05,4.4e-05,3.8e-05,1.3e-05,-2e-05,1.8e-05,3.5e-05,5.2e-05,-3.2e-05,1e-05,4.5e-05,1.5e-05,1.6e-05
BBNI.JK,4.4e-05,3.7e-05,8e-05,6.2e-05,3.2e-05,8.5e-05,0.00028,0.000164,0.000155,5.7e-05,4.2e-05,7.4e-05,0.00018,0.000104,0.00011,5e-06,3.8e-05,8.3e-05,1.9e-05,-1.1e-05,7.2e-05,1.1e-05,4.9e-05,4.3e-05,3e-05,4.5e-05,4.3e-05,3.5e-05,2e-05,4.3e-05,4.6e-05,1.8e-05,5.1e-05,8.1e-05,7.4e-05,3.1e-05,3e-05,1.9e-05,7.8e-05,3.9e-05,2e-06,2.6e-05,6.3e-05,6e-06,2.3e-05
BBRI.JK,3.1e-05,4e-05,8.7e-05,8.3e-05,3.6e-05,9.6e-05,0.000164,0.000277,0.000163,8.9e-05,5.3e-05,7e-05,0.000159,0.000134,0.000109,-2.1e-05,5.5e-05,0.000118,2.4e-05,-1.2e-05,4.5e-05,9e-06,3.5e-05,2.8e-05,4.2e-05,6.3e-05,4.5e-05,5e-05,3.4e-05,4.5e-05,4.1e-05,1.9e-05,4.1e-05,8.9e-05,4.6e-05,3.1e-05,3e-06,2e-05,7.3e-05,5.7e-05,-3.4e-05,2.5e-05,6.2e-05,2.4e-05,3.6e-05
BBTN.JK,5.2e-05,7.3e-05,8.2e-05,0.000135,6.8e-05,8.9e-05,0.000155,0.000163,0.000356,0.000104,5.9e-05,7.3e-05,0.000133,0.000137,0.000149,-6e-06,5.4e-05,0.000135,5.8e-05,2.6e-05,7.7e-05,3.5e-05,4.4e-05,5.8e-05,5.1e-05,6.3e-05,4.2e-05,6.5e-05,5.4e-05,7.8e-05,6e-05,1.9e-05,6.5e-05,0.000126,8e-05,5.1e-05,2.6e-05,3.5e-05,0.000124,6.3e-05,-2.5e-05,9e-06,5.7e-05,4.3e-05,1.4e-05
BIRD.JK,5e-05,8.1e-05,7.4e-05,0.000125,5.1e-05,3.5e-05,5.7e-05,8.9e-05,0.000104,0.000449,2.6e-05,2.6e-05,8.4e-05,8.5e-05,0.000113,7.5e-05,6.1e-05,0.000106,8.5e-05,-9e-06,1.4e-05,4.6e-05,3.7e-05,3.1e-05,4.1e-05,5.7e-05,4.2e-05,3.3e-05,4.2e-05,4.7e-05,8.1e-05,1.2e-05,6.2e-05,0.00011,7.6e-05,2.9e-05,3.8e-05,4.6e-05,6.2e-05,3.8e-05,-5.6e-05,3.3e-05,3.5e-05,5.4e-05,6.4e-05
BJBR.JK,2.5e-05,2.6e-05,1.4e-05,2.3e-05,1.1e-05,2.5e-05,4.2e-05,5.3e-05,5.9e-05,2.6e-05,7.4e-05,2.7e-05,4.4e-05,5.8e-05,3.8e-05,2.4e-05,2.1e-05,4.3e-05,2.7e-05,1e-05,5e-06,1.3e-05,6e-06,2e-05,1.5e-05,2.5e-05,2e-05,2.4e-05,1.9e-05,2.2e-05,2.4e-05,2e-06,2.4e-05,3e-05,3.9e-05,5e-06,-4e-06,1.7e-05,4.2e-05,2.5e-05,2.1e-05,2.7e-05,2.1e-05,2.1e-05,1.8e-05
BJTM.JK,3e-05,2.8e-05,3.5e-05,4.4e-05,1.1e-05,2.7e-05,7.4e-05,7e-05,7.3e-05,2.6e-05,2.7e-05,0.000103,5.8e-05,5.3e-05,5.9e-05,-0.0,4e-05,4.8e-05,6.3e-05,1.3e-05,3.6e-05,2.1e-05,2e-05,1.9e-05,2e-05,2.9e-05,1.4e-05,2.2e-05,1.6e-05,4e-05,3.3e-05,1.4e-05,2.9e-05,3.6e-05,2.7e-05,2.2e-05,6e-06,1.7e-05,5.9e-05,-5e-06,-1.2e-05,8e-06,2.8e-05,4.5e-05,8e-06
BMRI.JK,5.8e-05,4.1e-05,7.3e-05,7e-05,5.3e-05,0.00011,0.00018,0.000159,0.000133,8.4e-05,4.4e-05,5.8e-05,0.000293,0.000102,0.000117,1.9e-05,5.5e-05,6.1e-05,6.4e-05,4e-06,5.4e-05,2.1e-05,3.5e-05,4.5e-05,3.6e-05,5.6e-05,3.7e-05,3.9e-05,1.2e-05,5.2e-05,6.5e-05,2e-05,6.2e-05,8.1e-05,8e-06,4.1e-05,3e-06,1.8e-05,7.7e-05,4.9e-05,-3.7e-05,3.5e-05,6.1e-05,2.6e-05,8e-06
BTPS.JK,7.3e-05,6.5e-05,0.000103,0.000154,3e-05,8e-05,0.000104,0.000134,0.000137,8.5e-05,5.8e-05,5.3e-05,0.000102,0.000552,0.000127,-5e-06,5.9e-05,0.000171,6.1e-05,4.2e-05,3.2e-05,3e-05,2e-05,6.6e-05,8.4e-05,9.5e-05,3.5e-05,4.8e-05,5.4e-05,4.5e-05,6.7e-05,2.4e-05,4.2e-05,0.000117,0.00014,3.8e-05,4.5e-05,3.9e-05,0.000102,6.6e-05,-9e-06,5.4e-05,8.2e-05,5.1e-05,6.5e-05
CTRA.JK,2.3e-05,4.9e-05,7.8e-05,9e-05,5.6e-05,6.8e-05,0.00011,0.000109,0.000149,0.000113,3.8e-05,5.9e-05,0.000117,0.000127,0.000449,3.2e-05,1.7e-05,7.6e-05,6.3e-05,2.6e-05,5.6e-05,1.4e-05,7.3e-05,5.7e-05,5.7e-05,9.1e-05,6.1e-05,3.5e-05,5.6e-05,4.7e-05,9.7e-05,1e-06,5.4e-05,0.000181,3.4e-05,3.2e-05,2.8e-05,2.9e-05,9.5e-05,3.5e-05,-2.6e-05,4.2e-05,3e-05,5.9e-05,4.3e-05
DSNG.JK,2.4e-05,3.5e-05,-8e-06,5.3e-05,-6.4e-05,2e-06,5e-06,-2.1e-05,-6e-06,7.5e-05,2.4e-05,-0.0,1.9e-05,-5e-06,3.2e-05,0.000771,3.9e-05,1.3e-05,9.3e-05,4.5e-05,1e-05,1.6e-05,6.4e-05,1.1e-05,3.7e-05,-3.7e-05,1.7e-05,2.3e-05,2.8e-05,-6.3e-05,0.000109,-1.1e-05,2.9e-05,4.2e-05,1.2e-05,4.9e-05,4.9e-05,8.3e-05,3.7e-05,-1.3e-05,7.4e-05,0.000237,-5e-06,1.6e-05,5.9e-05
ELSA.JK,0.000112,7.2e-05,3.6e-05,9.1e-05,3.9e-05,3.9e-05,3.8e-05,5.5e-05,5.4e-05,6.1e-05,2.1e-05,4e-05,5.5e-05,5.9e-05,1.7e-05,3.9e-05,0.000355,5.1e-05,9.2e-05,1.9e-05,9e-06,6.5e-05,1.8e-05,2.1e-05,5.8e-05,4.5e-05,1.6e-05,4.4e-05,8e-06,6.2e-05,3.4e-05,2.6e-05,4.8e-05,2.2e-05,6.2e-05,4.8e-05,4.3e-05,4.4e-05,5.3e-05,3.9e-05,-1.6e-05,4.4e-05,1.8e-05,0.000107,2.4e-05
EMTK.JK,3.9e-05,0.000125,7.7e-05,0.000179,3.5e-05,6.2e-05,8.3e-05,0.000118,0.000135,0.000106,4.3e-05,4.8e-05,6.1e-05,0.000171,7.6e-05,1.3e-05,5.1e-05,0.000965,0.000149,4.2e-05,2.6e-05,8.1e-05,1.4e-05,5.9e-05,8.7e-05,9.3e-05,4.6e-05,4.9e-05,5.6e-05,-9e-06,0.000144,3.2e-05,7.3e-05,0.000105,0.000434,3.6e-05,6.5e-05,5.5e-05,7.9e-05,5.5e-05,3.9e-05,7.6e-05,6.3e-05,3.1e-05,9.1e-05
ESSA.JK,0.000103,0.000167,6.4e-05,6.3e-05,5e-05,1.6e-05,1.9e-05,2.4e-05,5.8e-05,8.5e-05,2.7e-05,6.3e-05,6.4e-05,6.1e-05,6.3e-05,9.3e-05,9.2e-05,0.000149,0.00108,4.2e-05,-1.7e-05,0.000197,4e-05,4.9e-05,6e-06,4.8e-05,-6.3e-05,4.9e-05,3.1e-05,4.9e-05,0.00011,3e-06,5e-06,4.1e-05,0.000119,5.9e-05,3e-06,5.2e-05,5.6e-05,2e-06,-0.000101,6.3e-05,2.6e-05,0.000116,2.9e-05
HEAL.JK,3.5e-05,2.3e-05,2.9e-05,4.6e-05,1e-05,1.2e-05,-1.1e-05,-1.2e-05,2.6e-05,-9e-06,1e-05,1.3e-05,4e-06,4.2e-05,2.6e-05,4.5e-05,1.9e-05,4.2e-05,4.2e-05,0.000413,3.2e-05,3.8e-05,3.2e-05,2.6e-05,4.7e-05,4.4e-05,3.7e-05,1.6e-05,-8e-06,1.7e-05,1e-06,6e-06,3.7e-05,1.1e-05,7.8e-05,4.3e-05,7.1e-05,1.1e-05,4.3e-05,-1.4e-05,2.7e-05,3.5e-05,2e-05,4.2e-05,4.9e-05
ICBP.JK,-3e-06,-1.1e-05,1.9e-05,6.4e-05,3e-05,2.1e-05,7.2e-05,4.5e-05,7.7e-05,1.4e-05,5e-06,3.6e-05,5.4e-05,3.2e-05,5.6e-05,1e-05,9e-06,2.6e-05,-1.7e-05,3.2e-05,0.000279,-3.2e-05,7.7e-05,7.3e-05,3.3e-05,4.2e-05,5.8e-05,1.3e-05,2.2e-05,7.2e-05,2.2e-05,1e-05,3.3e-05,2.6e-05,-2.1e-05,4.1e-05,9.4e-05,2.2e-05,4.1e-05,5.5e-05,2e-05,-7e-06,3.7e-05,4e-06,3.7e-05
